filename ,subjectNo ,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_1,916,63lfuhjzxeqm2t9,18,Female,Asian,Laptop/Computer,742821,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,100,no,100,two,1,Absent,, ,1,no
ucsd_1,917,1lm9dj5ekx83erk9,20,Female,Prefer not to say,Laptop/Computer,1069885,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,no technical issues,20,yes,10,two,1,Present,, ,1,no
ucsd_1,917,1lm9dj5ekx83erk9,20,Female,Prefer not to say,Laptop/Computer,1069885,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,NONE,10,no,30,one,1,Absent,, ,1,no
ucsd_1,940,rz72yqghqa9ssjor,selectone,selectone,selectone,selectone,638111,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,50,yes,80,one,1,Present,, ,1,no
ucsd_1,940,rz72yqghqa9ssjor,selectone,selectone,selectone,selectone,638111,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,50,yes,50,two,0,Present,, ,1,no
ucsd_1,988,05e14ga130ltyb9,selectone,selectone,selectone,selectone,690247,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,80,no,50,one,0,Absent,, ,1,no
ucsd_1,988,05e14ga130ltyb9,selectone,selectone,selectone,selectone,690247,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,70,no,70,two,1,Absent,, ,1,no
ucsd_1,996,wbr07f7p6zkyy14i,22,Male,selectone,Laptop/Computer,780541,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,60,yes,80,one,1,Present,, ,1,no
ucsd_1,996,wbr07f7p6zkyy14i,22,Male,selectone,Laptop/Computer,780541,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,90,no,40,two,1,Absent,, ,1,no
ucsd_1,1030,muvorwz0hw3r3sor,19,Male,Asian,Laptop/Computer,1293017,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,40,yes,50,one,0,Present,, ,1,no
ucsd_1,1030,muvorwz0hw3r3sor,19,Male,Asian,Laptop/Computer,1293017,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,40,yes,40,two,1,Present,, ,1,no
ucsd_1,1127,5o93zcqe6uipy14i,25,Male,Latino,Laptop/Computer,674892,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,i)8 seconds,60,yes,100,two,0,Present,,1,1,no
ucsd_1,1127,5o93zcqe6uipy14i,25,Male,Latino,Laptop/Computer,674892,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,i) 12 seconds,60,yes,60,two,1,Present,,1,1,no
ucsd_1,4,aw0wdl8tpmxd,21,Male,Asian,Laptop/Computer,683664,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,40,yes,80,one,1,Present,, ,,yes
ucsd_1,4,aw0wdl8tpmxd,21,Male,Asian,Laptop/Computer,683664,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,50,yes,60,two,0,Present,, ,,yes
ucsd_1,5,qqr2lewdcff20529,18,Female,Caucasian,Laptop/Computer,713510,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,60,yes,30,two,1,Present,, ,,yes
ucsd_1,5,qqr2lewdcff20529,18,Female,Caucasian,Laptop/Computer,713510,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,30,no,60,one,1,Absent,, ,,yes
ucsd_1,6,i3anywvuf9cz0k9,19,Female,Caucasian,Laptop/Computer,775770,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,no,80,no,90,one,1,Absent,, ,,yes
ucsd_1,6,i3anywvuf9cz0k9,19,Female,Caucasian,Laptop/Computer,775770,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,No,90,yes,60,two,1,Present,, ,,yes
ucsd_1,7,6mta6fp4ogsnhfr,19,Female,Asian,Laptop/Computer,881365,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,30,yes,30,two,0,Present,, ,,yes
ucsd_1,7,6mta6fp4ogsnhfr,19,Female,Asian,Laptop/Computer,881365,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,No sound during the whole video,30,yes,80,one,1,Present,, ,,yes
ucsd_1,12,q599h7pd1fez5mi,21,Female,Asian,Laptop/Computer,732180,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,70,yes,30,one,1,Present,, ,,yes
ucsd_1,12,q599h7pd1fez5mi,21,Female,Asian,Laptop/Computer,732180,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,no,40,two,1,Absent,, ,,yes
ucsd_1,13,t8r9of2ld4h,21,Female,Caucasian,Laptop/Computer,879373,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,I did not encounter any issues. ,50,no,60,two,0,Absent,, ,,yes
ucsd_1,13,t8r9of2ld4h,21,Female,Caucasian,Laptop/Computer,879373,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,No issues,50,no,70,one,1,Absent,, ,,yes
ucsd_1,14,qdof546wu6xn7b9,21,Female,Asian,Laptop/Computer,2478782,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,Nope,70,no,60,one,1,Absent,, ,,yes
ucsd_1,14,qdof546wu6xn7b9,21,Female,Asian,Laptop/Computer,2478782,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,50,yes,80,two,1,Present,, ,,yes
ucsd_1,15,g83zimolygmn29,21,Female,Asian,Laptop/Computer,876002,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,no technical problems ,70,yes,50,two,0,Present,, ,,yes
ucsd_1,15,g83zimolygmn29,21,Female,Asian,Laptop/Computer,876002,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,no,50,no,50,one,0,Absent,, ,,yes
ucsd_1,20,oz7ybe0dmgpq4cxr,18,Female,Asian,Laptop/Computer,1026665,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,60,yes,50,one,1,Present,, ,,yes
ucsd_1,20,oz7ybe0dmgpq4cxr,18,Female,Asian,Laptop/Computer,1026665,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,yes,80,two,0,Present,, ,,yes
ucsd_1,21,n6jumm1ipidaemi,22,Female,Asian,Laptop/Computer,814369,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,90,yes,100,two,1,Present,, ,,yes
ucsd_1,21,n6jumm1ipidaemi,22,Female,Asian,Laptop/Computer,814369,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,100,no,100,one,1,Absent,, ,,yes
ucsd_1,22,50azv4k4jwp,21,Female,Mexican-American,Laptop/Computer,891243,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,No technical difficulties viewing the video.,0,no,60,one,1,Absent,, ,,yes
ucsd_1,22,50azv4k4jwp,21,Female,Mexican-American,Laptop/Computer,891243,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,No technical problems encountered.,20,no,40,two,0,Absent,, ,,yes
ucsd_1,23,3ecvx1eznbm,21,Female,Asian,Laptop/Computer,966997,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,No.,80,no,100,two,1,Absent,, ,,yes
ucsd_1,23,3ecvx1eznbm,21,Female,Asian,Laptop/Computer,966997,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,No.,100,yes,80,one,1,Present,, ,,yes
ucsd_1,28,nuycifx4gya,19,Female,Asian,Laptop/Computer,869347,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,60,yes,80,one,1,Present,, ,,yes
ucsd_1,28,nuycifx4gya,19,Female,Asian,Laptop/Computer,869347,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,40,yes,70,two,0,Present,, ,,yes
ucsd_1,29,2dgzkagynf06n7b9,20,Female,Asian,Laptop/Computer,761471,1,showup,mugging,present,mugging_showup_perpetrator,,,,,, I did not encounter any technical problems,60,yes,60,two,1,Present,, ,,yes
ucsd_1,29,2dgzkagynf06n7b9,20,Female,Asian,Laptop/Computer,761471,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,No,80,no,70,one,1,Absent,, ,,yes
ucsd_1,30,jh05v1x3p0c0udi,21,Female,Asian,Laptop/Computer,744865,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,no,70,yes,80,one,0,Present,, ,,yes
ucsd_1,30,jh05v1x3p0c0udi,21,Female,Asian,Laptop/Computer,744865,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,NO,60,yes,70,two,1,Present,, ,,yes
ucsd_1,31,9tmnrnctqnqm2t9,20,Female,Asian,Laptop/Computer,723433,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,70,no,40,two,1,Absent,, ,,yes
ucsd_1,31,9tmnrnctqnqm2t9,20,Female,Asian,Laptop/Computer,723433,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,50,no,30,one,0,Absent,, ,,yes
ucsd_1,36,bglkx0vw4m927qfr,20,Female,Caucasian,Laptop/Computer,720177,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,70,yes,90,one,1,Present,, ,,yes
ucsd_1,36,bglkx0vw4m927qfr,20,Female,Caucasian,Laptop/Computer,720177,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,50,yes,60,two,0,Present,, ,,yes
ucsd_1,37,rfb0yc0pmi996bt9,20,Female,Asian,Laptop/Computer,714203,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,100,yes,100,two,1,Present,, ,,yes
