filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_2,31,obmpr3xcu83nb3xr,19,Female,Asian,Laptop/Computer,821317,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,80,yes,60,two,1,Present,, ,,yes
ucsd_2,31,obmpr3xcu83nb3xr,19,Female,Asian,Laptop/Computer,821317,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,70,yes,80,one,0,Present,, ,,yes
ucsd_2,32,1ve2k6lz091cerk9,18,Male,Asian,Laptop/Computer,746198,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,There were no technical problems while viewing the video.,70,no,100,two,1,Absent,, ,,yes
ucsd_2,32,1ve2k6lz091cerk9,18,Male,Asian,Laptop/Computer,746198,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,No,70,yes,100,one,1,Present,, ,,yes
ucsd_2,33,ohtb4ajhsq,18,Female,Other,Laptop/Computer,727609,2,simultaneousShowup,graffiti,absent,graffiti_lineup_3,graffiti_lineup_4,graffiti_lineup_2,graffiti_lineup_innocentsuspect,graffiti_lineup_5,graffiti_lineup_1,,60,no,70,one,1,Absent,, ,,yes
ucsd_2,33,ohtb4ajhsq,18,Female,Other,Laptop/Computer,727609,1,simultaneousShowup,mugging,present,mugging_lineup_1,mugging_lineup_3,mugging_lineup_perpetrator,mugging_lineup_2,mugging_lineup_5,mugging_lineup_4,,50,yes,80,two,1,Present,, ,,yes
ucsd_2,34,75c4vxlahnlmobt9,18,Male,Prefer not to say,Laptop/Computer,788167,1,simultaneousShowup,mugging,absent,mugging_lineup_2,mugging_lineup_3,mugging_lineup_innocentsuspect,mugging_lineup_4,mugging_lineup_1,mugging_lineup_5,no,70,no,100,two,1,Absent,, ,,yes
ucsd_2,34,75c4vxlahnlmobt9,18,Male,Prefer not to say,Laptop/Computer,788167,2,simultaneousShowup,graffiti,present,graffiti_lineup_1,graffiti_lineup_3,graffiti_lineup_4,graffiti_lineup_5,graffiti_lineup_perpetrator,graffiti_lineup_2,no,70,yes,70,one,1,Present,, ,,yes
ucsd_2,35,bns216jm1ns,19,Male,Latino,Laptop/Computer,726747,2,simultaneousShowup,mugging,absent,mugging_lineup_3,mugging_lineup_4,mugging_lineup_2,mugging_lineup_innocentsuspect,mugging_lineup_1,mugging_lineup_5,,60,no,100,two,1,Absent,, ,,yes
ucsd_2,35,bns216jm1ns,19,Male,Latino,Laptop/Computer,726747,1,simultaneousShowup,graffiti,present,graffiti_lineup_4,graffiti_lineup_perpetrator,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_1,,80,yes,70,one,1,Present,, ,,yes
ucsd_2,36,q43fq3tskm7k3xr,21,Male,Asian,Laptop/Computer,745235,1,simultaneousShowup,graffiti,absent,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_1,graffiti_lineup_4,graffiti_lineup_innocentsuspect,graffiti_lineup_3,,100,no,100,one,1,Absent,, ,,yes
ucsd_2,36,q43fq3tskm7k3xr,21,Male,Asian,Laptop/Computer,745235,2,simultaneousShowup,mugging,present,mugging_lineup_2,mugging_lineup_4,mugging_lineup_3,mugging_lineup_perpetrator,mugging_lineup_5,mugging_lineup_1,,100,yes,100,two,1,Present,, ,,yes
ucsd_2,37,woqjolnlvz3t0529,19,Female,Asian,Laptop/Computer,868748,1,simultaneousShowup,mugging,absent,mugging_lineup_1,mugging_lineup_2,mugging_lineup_3,mugging_lineup_innocentsuspect,mugging_lineup_5,mugging_lineup_4,No sound.,100,no,90,two,1,Absent,, ,,yes
ucsd_2,37,woqjolnlvz3t0529,19,Female,Asian,Laptop/Computer,868748,2,simultaneousShowup,graffiti,present,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_4,graffiti_lineup_2,graffiti_lineup_perpetrator,graffiti_lineup_1,NO PROBLEM.,100,no,60,one,0,Absent,, ,,yes
ucsd_2,38,jtc2ujnti8n,19,Female,Caucasian,Laptop/Computer,835558,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,no,70,no,100,two,1,Absent,, ,,yes
ucsd_2,38,jtc2ujnti8n,19,Female,Caucasian,Laptop/Computer,835558,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,no,50,yes,50,one,1,Present,, ,,yes
ucsd_2,39,2itwrjcu6zloko6r,18,Male,Asian,Laptop/Computer,696812,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,100,no,100,one,1,Absent,, ,,yes
ucsd_2,39,2itwrjcu6zloko6r,18,Male,Asian,Laptop/Computer,696812,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,nope,100,no,70,two,0,Absent,, ,,yes
ucsd_2,40,ldnc9fh4yw8,20,Male,Asian,Laptop/Computer,714102,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,No technical issues,60,no,60,two,1,Absent,, ,,yes
ucsd_2,40,ldnc9fh4yw8,20,Male,Asian,Laptop/Computer,714102,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,60,yes,60,one,1,Present,, ,,yes
ucsd_2,41,9uc2oqx4a6skyb9,20,Male,Asian,Laptop/Computer,6630214,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,I did not encounter any problems.,80,yes,80,one,0,Present,, ,,yes
ucsd_2,41,9uc2oqx4a6skyb9,20,Male,Asian,Laptop/Computer,6630214,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,There were no technical problems.,90,yes,80,two,1,Present,, ,,yes
ucsd_2,42,0jmgr6ecupwdbo6r,18,Female,Asian,Laptop/Computer,722414,2,simultaneousShowup,mugging,absent,mugging_lineup_5,mugging_lineup_2,mugging_lineup_3,mugging_lineup_innocentsuspect,mugging_lineup_1,mugging_lineup_4,,50,no,80,two,1,Absent,, ,,yes
ucsd_2,42,0jmgr6ecupwdbo6r,18,Female,Asian,Laptop/Computer,722414,1,simultaneousShowup,graffiti,present,graffiti_lineup_perpetrator,graffiti_lineup_2,graffiti_lineup_4,graffiti_lineup_3,graffiti_lineup_5,graffiti_lineup_1,,50,yes,60,one,1,Present,, ,,yes
