filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,SeenBefore,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,SeenCheck,include
ucsd_5,34,mxhcgzrzcoh,22,Male,Asian,Laptop/Computer,971017,2,simultaneousShowup,mugging,absent,mugging_lineup_34,mugging_lineup_26,mugging_innocent_39,mugging_lineup_23,mugging_lineup_6,mugging_lineup_29,NO,No,no,100,two,1,Absent,, ,,,yes
ucsd_5,34,mxhcgzrzcoh,22,Male,Asian,Laptop/Computer,971017,1,simultaneousShowup,graffiti,present,graffiti_lineup_40,graffiti_lineup_11,graffiti_lineup_19,graffiti_lineup_perpetrator,graffiti_lineup_39,graffiti_lineup_24,I did not see any technical problem. There was a pause-like moment when the camera angle changed.,No,yes,20,one,1,Present,, ,,,yes
ucsd_5,35,z6ug61pq4ziqdq5i60v7eewmi,20,Prefer not to say,Caucasian,Laptop/Computer,704914,2,control,mugging,absent,mugging_innocent_19,mugging_control_1,mugging_control_22,mugging_control_24,mugging_control_38,mugging_control_39,NONE,No,face3,30,two,filler,Present,, ,,,yes
ucsd_5,35,z6ug61pq4ziqdq5i60v7eewmi,20,Prefer not to say,Caucasian,Laptop/Computer,704914,1,control,graffiti,present,graffiti_control_26,graffiti_control_18,graffiti_control_2,graffiti_control_8,graffiti_control_34,graffiti_control_perpetrator,none,No,face5,60,one,1,Present,, ,,,yes
ucsd_5,36,cc9fckyppxk9yhsvlote53ik9,21,Male,Mexican-American,Laptop/Computer,810254,2,control,graffiti,absent,graffiti_control_5,graffiti_control_6,graffiti_innocent_29,graffiti_control_31,graffiti_control_40,graffiti_control_19,none,No,notpresent,50,one,1,Absent,, ,,,yes
ucsd_5,36,cc9fckyppxk9yhsvlote53ik9,21,Male,Mexican-American,Laptop/Computer,810254,1,control,mugging,present,mugging_control_21,mugging_control_4,mugging_control_24,mugging_control_perpetrator,mugging_control_8,mugging_control_7,no problems,No,face1,50,two,0,Present,, ,,,yes
ucsd_5,37,veihnv28eyc,20,Female,Caucasian,Laptop/Computer,659877,2,control,graffiti,present,graffiti_control_2,graffiti_control_10,graffiti_control_33,graffiti_control_perpetrator,graffiti_control_39,graffiti_control_16,,No,face0,70,one,0,Present,, ,,,yes
ucsd_5,37,veihnv28eyc,20,Female,Caucasian,Laptop/Computer,659877,1,control,mugging,absent,mugging_control_6,mugging_control_20,mugging_control_26,mugging_control_10,mugging_control_9,mugging_innocent_21,,No,face1,70,two,filler,Present,, ,,,yes
ucsd_5,38,eczwtkbsplfwc2920a4utbj4i,18,Female,Other,Laptop/Computer,821637,2,simultaneousShowup,graffiti,absent,graffiti_lineup_38,graffiti_lineup_9,graffiti_lineup_5,graffiti_lineup_32,graffiti_lineup_12,graffiti_innocent_4,No technical Problems,No,no,80,one,1,Absent,, ,,,yes
ucsd_5,38,eczwtkbsplfwc2920a4utbj4i,18,Female,Other,Laptop/Computer,821637,1,simultaneousShowup,mugging,present,mugging_lineup_5,mugging_lineup_31,mugging_lineup_perpetrator,mugging_lineup_37,mugging_lineup_1,mugging_lineup_26,No technical problems,No,no,40,two,0,Absent,, ,,,yes
ucsd_5,39,ydxoh3o6gqo0bbrfjcb7f1or,20,Male,Asian,Laptop/Computer,737690,2,simultaneousShowup,mugging,present,mugging_lineup_23,mugging_lineup_perpetrator,mugging_lineup_26,mugging_lineup_6,mugging_lineup_35,mugging_lineup_40,,No,yes,60,two,1,Present,, ,,,yes
ucsd_5,39,ydxoh3o6gqo0bbrfjcb7f1or,20,Male,Asian,Laptop/Computer,737690,1,simultaneousShowup,graffiti,absent,graffiti_lineup_24,graffiti_lineup_38,graffiti_lineup_23,graffiti_lineup_16,graffiti_innocent_35,graffiti_lineup_1,,No,no,80,one,1,Absent,, ,,,yes
ucsd_5,40,2i4e00q0k1,20,Male,African-American,Laptop/Computer,731870,2,simultaneousShowup,graffiti,present,graffiti_lineup_30,graffiti_lineup_17,graffiti_lineup_perpetrator,graffiti_lineup_10,graffiti_lineup_16,graffiti_lineup_7,none,No,no,80,one,0,Absent,, ,,,yes
ucsd_5,40,2i4e00q0k1,20,Male,African-American,Laptop/Computer,731870,1,simultaneousShowup,mugging,absent,mugging_lineup_39,mugging_lineup_21,mugging_lineup_6,mugging_innocent_1,mugging_lineup_36,mugging_lineup_40,there was no real tech issue,No,no,90,two,1,Absent,, ,,,yes
