subNum,lineupType,suspectPosition,suspectID,suspectRT,suspectConf,fill1ID,fill1RT,fill1Conf,fill2ID,fill2RT,fill2Conf,fill3ID,fill3RT,fill3Conf,fill4ID,fill4RT,fill4Conf,fill5ID,fill5RT,fill5Conf,fill6ID,fill6RT,fill6Conf
2921,Target Present,4,Yes,5.391,63,No,4.954,-41,No,3.829,-100,No,7.864,-40,,,,No,3.883,-67,Yes,6.758,60
2922,Target Present,6,No,5.077,42,No,10.539,-29,Yes,8.349,71,No,4.212,-92,Yes,7.746,61,No,5.835,-75,,,
2923,Target Absent,,,,,No,4.224,-74,No,4.371,-95,No,4.205,-76,No,4.832,-89,Yes,5.113,72,No,4.387,-84
2924,Target Present,5,Yes,2.832,85,No,3.653,-100,No,3.496,-88,No,3.845,-100,No,3.188,-100,,,,No,4.852,-51
2925,Target Absent,,,,,No,4.154,-91,No,4.443,-100,No,4.758,-78,Yes,8.405,26,Yes,3.417,91,No,5.297,-91
2926,Target Present,3,No,4.398,45,Yes,11.312,40,Yes,0,19,,,,No,10.771,-47,No,3.862,-46,No,3.56,-46
2927,Target Absent,,,,,No,5.951,-60,Yes,14.552,65,No,4.975,-69,No,3.185,-88,No,6.302,-83,No,4.503,-77
2928,Target Present,1,Yes,3.946,100,,,,No,3.795,-100,No,5.44,-100,No,4.229,-100,No,5.198,-100,No,5.952,-100
2929,Target Present,4,Yes,4.623,82,No,3.84,-69,No,7.866,-64,Yes,4.683,73,,,,No,2.778,-78,No,2.383,-69
2930,Target Present,5,No,8.022,60,No,8.114,-100,Yes,12.759,50,No,5.702,-90,No,7.505,-85,,,,No,5.577,-100
2931,Target Absent,,,,,No,8.467,-51,No,8.042,-19,Yes,8.645,40,Yes,10.009,74,No,5.403,0,Yes,7.254,61
2932,Target Absent,,,,,No,5.385,-64,No,3.754,-75,No,2.891,-75,No,0,-74,No,3.078,-78,No,4.842,-75
2933,Target Absent,,,,,Yes,5.666,80,No,3.62,-100,No,2.838,-100,No,3.97,-100,No,5.33,-64,No,3.863,-85
2934,Target Present,6,No,5.298,10,No,6.048,-20,No,7.352,-29,No,11.251,-10,No,11.48,-15,Yes,7.95,80,,,
2935,Target Absent,,,,,No,3.362,-51,No,2.142,-61,No,4.674,-51,No,2.424,-47,No,2.806,-41,No,3.973,-34
2936,Target Absent,,,,,No,19.784,-62,No,16.974,-31,No,9.579,-85,No,8.892,-95,No,8.871,-87,No,8.319,-68
2937,Target Present,4,Yes,13.624,95,No,8.574,-29,Yes,10.112,71,Yes,8.933,90,,,,No,5.75,-78,No,7.946,-82
2938,Target Absent,,,,,No,7.218,-71,No,3.382,-19,No,4.769,-58,No,4.554,-42,No,3.35,-8,No,3.804,-37
2939,Target Absent,,,,,No,20.14,-70,Yes,9.553,80,No,6.619,-90,No,6.144,-92,No,3.519,-100,No,5.647,-100
2940,Target Absent,,,,,No,12.193,-23,No,3.864,-20,No,3.111,-26,No,2.771,-27,No,3.172,-24,Yes,5.016,42
2941,Target Absent,,,,,Yes,5.244,55,No,5.64,-59,No,5.081,-58,No,4.344,-100,Yes,4.454,76,No,3.937,-100
2942,Target Present,3,No,6.676,19,No,6.939,-20,No,5.92,-40,,,,No,9.509,-19,No,8.947,-19,No,8.889,-16
2943,Target Present,2,Yes,9.306,75,No,9.024,-63,,,,No,15.044,-21,No,5.17,-84,No,6.827,-74,No,6.225,-20
2944,Target Present,5,Yes,11.378,71,No,10.962,-99,No,7.733,-91,No,8.263,-90,No,8.917,-91,,,,No,9.408,-91
2945,Target Present,6,Yes,7.006,81,No,5.872,-83,No,6.065,-81,Yes,6.363,91,No,4.491,-70,Yes,7.026,71,,,
