subNum,condition,lineupType,suspectPosition,suspectID,suspectConf,fill1ID,fill1Conf,fill2ID,fill2Conf,fill3ID,fill3Conf,fill4ID,fill4Conf,fill5ID,fill5Conf,fill6ID,fill6Conf
2934,Target Present,Lineup,pos 1,No,50,NaN,NaN,No,100,No,81,No,97,No,100,No,85
2935,Target Present,Lineup,pos 6,Yes,85,No,95,No,91,No,100,No,92,No,94,NaN,NaN
2936,Target Present,Showup,,Yes,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2937,Target Present,Showup,,Yes,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2938,Target Absent,Showup,,,NaN,Yes,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2939,Target Absent,Lineup,,,NaN,No,86,No,100,Yes,63,No,74,No,92,No,70
2940,Target Absent,Lineup,,,NaN,No,32,No,20,No,40,No,70,No,40,No,40
2941,Target Present,Lineup,pos 5,No,30,No,30,No,30,Yes,30,No,30,NaN,NaN,No,30
2942,Target Absent,Lineup,,,NaN,No,100,No,100,No,100,No,51,No,100,No,100
2943,Target Absent,Showup,,,NaN,No,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2944,Target Absent,Lineup,,,NaN,No,80,No,100,No,100,No,70,No,100,No,100
2945,Target Absent,Showup,,,NaN,Yes,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2946,Target Present,Lineup,pos 4,Yes,90,No,60,No,60,No,60,NaN,NaN,No,60,Yes,100
2947,Target Present,Showup,,No,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2948,Target Present,Lineup,pos 6,No,42,No,64,No,78,No,51,No,98,Yes,77,NaN,NaN
2949,Target Present,Lineup,pos 5,Yes,64,No,94,No,100,No,100,No,100,NaN,NaN,Yes,64
