ParticipantId,Age,Sex,Ethnicity,Ethnicity2,TimeElapsed,EncodingConditionRaw,EncodingCondition,TargetPresent,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Lineup6,Interactors,ParticipantTargetPresent,ParticipantLineupSelection,Accuracy,ParticipantSelection,Confidence,MouseGroup,MissingMouseData,TargetFront,TargetLeft,TargetRight,FrontFiller,LeftFiller,RightFiller,SameTarget,OppTarget,SameFiller,OppFiller,
341f04be-ff85-4185-bd11-52f30aaa0ef1,48,Female,"Hispanic, Latino or Spanish",Black Caribbean,372496,1,right,0,4,3,5,6,1,2,1,no,,1,reject,50,High,0,,,,0.646326923,0.052700544,0.300972533,,,0.300972533,0.052700544,
cb47afd4-4834-476d-a4e0-7a6274251320,69,Female,White or Caucasian,White American,173772,2,left,1,1,6,5,2,4,3,1,no,,0,reject,80,High,0,,,,0.700902005,0.299097995,0,0,0,0.299097995,0,
4c531177-8fa7-447b-b595-afb85fc357f0,26,Male,"East Asian (e.g., Chinese, Japanese, Korean)",Chinese,164153,2,left,1,5,2,6,1,3,4,1,no,,0,reject,40,Low,0,0.938949939,0.061050061,,0.851035141,0.12116899,0.027795869,0.061050061,0,0.12116899,0.027795869,
9de96be7-e5dc-4c2b-9ec0-5b3024c03793,48,Female,White or Caucasian,White American,235831,1,right,0,1,2,3,4,5,6,1,yes,2,0,filler,40,High,0,,,,0.581167003,0.151341985,0.267491012,,,0.267491012,0.151341985,
fdf1c24e-fe7a-4846-b119-8a1e137c8510,28,Male,White or Caucasian,White American,153969,1,right,0,4,1,6,3,2,5,1,no,,1,reject,80,High,0,,,,0.635570391,0.088114806,0.276314804,,,0.276314804,0.088114806,
a0990725-ce16-4d47-8235-31f0403d2cb8,34,Female,White or Caucasian,White American,261794,2,left,1,1,3,5,6,2,4,1,yes,4,1,target,60,High,0,0.953064888,0.046935112,,0.719610087,0.280389913,0,0.046935112,0,0.280389913,0,
71bc9c62-2439-4722-b9fe-523ce9ef4f8c,26,Male,White or Caucasian,White American,148342,2,left,0,6,5,1,4,3,2,1,no,,1,reject,50,Low,0,,,,0.822759217,0.069650097,0.107590686,,,0.069650097,0.107590686,
70ea65dc-ea3e-463b-8fcb-d05fc923d7c3,48,Male,White or Caucasian,White American,170600,1,right,0,6,3,2,1,5,4,1,yes,3,0,filler,70,High,0,,,,0.637080254,0.099425018,0.263494727,,,0.263494727,0.099425018,
458c55a2-30d0-4659-afe2-98ca0643a28c,35,Male,White or Caucasian,White Irish,203021,1,right,0,1,5,2,6,3,4,1,no,,1,reject,100,High,0,,,,0.644467025,0.11213498,0.243397995,,,0.243397995,0.11213498,
9855883b-9186-4307-a110-8d7ad36164a0,27,Female,"Hispanic, Latino or Spanish",Hispanic or Latino,138763,2,left,0,2,3,1,6,5,4,1,yes,3,0,filler,100,High,0,,,,0.594473591,0.233359958,0.17216645,,,0.233359958,0.17216645,
8d26ebc4-4368-46b7-8f62-3710e9c3329b,47,Male,White or Caucasian,White American,182364,2,left,0,1,3,5,4,2,6,1,no,,1,reject,90,Low,0,,,,0.648189458,0.181109685,0.170700858,,,0.181109685,0.170700858,
4bdd799d-7774-4708-afa5-cfb1eba0485d,56,Female,White or Caucasian,White American,164248,1,right,0,1,6,2,4,5,3,1,no,,1,reject,90,Low,0,,,,0.936611092,0,0.063388908,,,0.063388908,0,
1c7fce42-6a8e-4964-aa38-caebf14570b3,40,Male,White or Caucasian,White British,181609,1,right,0,4,2,3,5,1,6,1,no,,1,reject,30,High,0,,,,0.60382463,0.174303767,0.221871603,,,0.221871603,0.174303767,
9caf06d6-25a4-425e-9a40-65491e1e94eb,59,Male,White or Caucasian,White American,206543,2,left,0,5,3,2,6,1,4,1,no,,1,reject,80,High,0,,,,0.44932236,0.36369157,0.18698607,,,0.36369157,0.18698607,
54d89b34-680d-4912-a262-f5bd37395e6e,35,Male,White or Caucasian,White American,248864,1,right,0,6,3,5,4,1,2,1,yes,6,0,filler,80,High,0,,,,0.525058329,0.069110481,0.405831191,,,0.405831191,0.069110481,
bcec2a46-c8f4-4feb-8a6c-9155f027b20c,52,Female,White or Caucasian,White American,199199,2,left,1,5,4,6,2,3,1,1,yes,3,1,target,60,High,0,0.646435197,0.353564803,,0.711408852,0.288591148,0,0.353564803,0,0.288591148,0,
94a9253e-39e1-4351-90d2-7e0f6a4953f6,54,Female,White or Caucasian,White American,250031,2,left,0,2,4,3,5,1,6,1,no,,1,reject,80,Low,0,,,,0.796100076,0.190816535,0.013083389,,,0.190816535,0.013083389,
8377f854-ba82-46e1-bb51-e94c4aa71fa0,24,Female,White or Caucasian,White American,731020,1,right,0,3,2,6,1,4,5,1,no,,1,reject,100,High,0,,,,0.79930506,0,0.20069494,,,0.20069494,0,
faf0b7eb-7427-46eb-807d-f8c543871cdb,56,Male,Black or African American,Black African,278338,1,right,0,4,3,5,2,6,1,1,no,,1,reject,100,High,0,,,,0.459222307,0.233260412,0.307517281,,,0.307517281,0.233260412,
7fb7058e-aecd-4de6-a9b0-2302a47465e1,32,Female,White or Caucasian,White American,171473,2,left,0,3,5,4,2,1,6,1,no,,1,reject,50,Low,0,,,,0.894891842,0.081158578,0.02394958,,,0.081158578,0.02394958,
0d97dc7f-7cc2-4a7a-8354-9fccb0aa6537,55,Female,White or Caucasian,White American,213617,2,left,0,3,5,4,1,6,2,1,yes,1,0,filler,50,High,0,,,,0.55073744,0.304047536,0.145215024,,,0.304047536,0.145215024,
64eac541-fc04-404f-89d3-f381eb4856f0,37,Male,White or Caucasian,White American,155683,1,right,0,3,4,1,6,2,5,1,yes,2,0,filler,80,Low,0,,,,0.873173412,0,0.126826588,,,0.126826588,0,
6def2ab7-0ca3-4764-a94d-1cdf2aa6b060,26,Male,White or Caucasian,White American,163125,1,right,0,3,2,6,1,4,5,1,no,,1,reject,90,High,0,,,,0.491654557,0.161060669,0.347284775,,,0.347284775,0.161060669,
440c09f9-5f57-4658-a2ef-31893300ebdf,27,Male,"East Asian (e.g., Chinese, Japanese, Korean)",Asian other,184909,2,left,1,6,3,4,5,2,1,1,yes,1,1,target,100,Low,0,0.561531767,0.095909487,0.342558747,0.706670116,0.149960263,0.143369621,0.095909487,0.342558747,0.149960263,0.143369621,
c866fe93-2a77-4ab0-a106-fa4c33bc6af1,25,Male,White or Caucasian,White American,180273,1,right,0,1,6,2,3,5,4,1,no,,1,reject,70,Low,0,,,,0.883447568,0,0.116552432,,,0.116552432,0,
3870abb2-56a0-480d-94f1-8208953ee3a0,36,Male,"East Asian (e.g., Chinese, Japanese, Korean)",Chinese,158275,2,left,0,1,6,2,4,3,5,1,yes,1,0,filler,60,Low,0,,,,0.943240173,0.056759827,0,,,0.056759827,0,
990ddd4e-43f7-41c2-9073-59147aff2b7a,67,Female,White or Caucasian,White American,257549,1,right,0,4,2,1,3,5,6,1,no,,1,reject,80,High,0,,,,0.666352197,0.119388554,0.214259248,,,0.214259248,0.119388554,
0ff5d7b4-0090-46ad-9c89-c50a764ba5cb,26,Female,White or Caucasian,White American,178879,2,left,0,6,5,1,3,2,4,1,yes,3,0,filler,60,High,0,,,,0.635827637,0.272095495,0.092076867,,,0.272095495,0.092076867,
cbf5e74b-dbb0-4476-9d69-f92a17b47a33,27,Male,White or Caucasian,White British,164272,1,right,0,1,2,3,5,4,6,1,yes,5,0,filler,60,Low,0,,,,0.720895264,0.128428624,0.150676111,,,0.150676111,0.128428624,
1f3628b0-e4c0-44c7-930b-aee9390b9453,24,Prefer not to say,"East Asian (e.g., Chinese, Japanese, Korean)",Asian other,187943,2,left,0,2,3,4,6,1,5,1,yes,5,0,filler,70,High,0,,,,0.756199311,0.243800689,0,,,0.243800689,0,
17774bc3-685b-4451-99df-b146807b51ba,34,Female,White or Caucasian,White American,182124,1,right,0,1,5,3,6,4,2,1,yes,4,0,filler,40,Low,0,,,,0.741311317,0.224484341,0.034204342,,,0.034204342,0.224484341,
d3f093ae-19bf-463b-ad34-4b797328e139,47,Male,White or Caucasian,White American,195049,2,left,1,5,4,2,3,6,1,1,yes,5,1,target,90,Low,0,0.717568569,0.210896961,0.07153447,0.893332181,0.053430186,0.053237633,0.210896961,0.07153447,0.053430186,0.053237633,
b6c1c394-51d9-44f5-83b0-d875fa9fa8d4,45,Male,White or Caucasian,White American,191047,1,right,1,6,2,4,5,1,3,1,yes,1,1,target,100,Low,0,0.581257557,0.10362757,0.315114873,0.966491988,0,0.033508012,0.315114873,0.10362757,0.033508012,0,
8931734d-13b3-48c8-8c0f-1afb614c7a52,36,Male,White or Caucasian,White American,183607,2,left,1,2,1,3,5,4,6,1,yes,6,1,target,70,High,0,0.773578178,0.205384204,0.021037618,0.705790089,0.188057741,0.106152169,0.205384204,0.021037618,0.188057741,0.106152169,
4483ea4a-f692-4013-a745-d2bc6a754ab3,76,Male,White or Caucasian,White American,272003,1,right,0,2,1,3,4,5,6,1,yes,1,0,filler,60,Low,0,,,,0.930303757,0,0.069696243,,,0.069696243,0,
945bf73d-181d-4164-8fea-f09cf3622b7c,41,Female,White or Caucasian,White American,187987,2,left,1,2,4,1,3,5,6,1,yes,1,0,filler,60,High,0,0.603721683,0.326375405,0.069902913,0.793424707,0.171232712,0.035342581,0.326375405,0.069902913,0.171232712,0.035342581,
e61da637-9754-4cee-a65d-9665ba5be810,30,Male,White or Caucasian,White American,198380,2,left,1,5,2,1,4,6,3,1,yes,5,1,target,90,Low,0,0.798972189,0.035066505,0.165961306,0.710713318,0.053614628,0.235672054,0.035066505,0.165961306,0.053614628,0.235672054,
f4426e93-39d5-4986-bbf4-7e427d8fcbe1,27,Male,White or Caucasian,White American,164605,1,right,1,4,2,3,5,6,1,1,yes,5,1,target,100,Low,0,0.740082261,0.09274247,0.167175269,0.766416096,0.092974337,0.140609567,0.167175269,0.09274247,0.140609567,0.092974337,
a00b3020-0503-4a38-9619-57147abae2d4,39,Male,White or Caucasian,White American,215316,2,left,0,1,2,4,6,5,3,1,no,,1,reject,100,High,0,,,,0.549293735,0.274300347,0.176405918,,,0.274300347,0.176405918,
bf1afa18-748c-4c0b-9cef-e7de50793cbd,34,Male,White or Caucasian,White American,188308,1,right,0,6,2,3,4,1,5,1,yes,5,0,filler,90,Low,0,,,,0.83051157,0.071145039,0.098343391,,,0.098343391,0.071145039,
c53bd251-3212-47da-b296-a9a60c37f257,48,Male,White or Caucasian,White American,295414,2,left,0,4,3,5,2,6,1,1,no,,1,reject,90,High,0,,,,0.658389788,0.306214904,0.035395308,,,0.306214904,0.035395308,
2b5716ba-198f-4f0b-96e6-f32c99cd7344,27,Male,White or Caucasian,White American,159890,1,right,0,2,6,3,4,5,1,1,yes,1,0,filler,60,Low,0,,,,0.786936935,0.152733337,0.060329728,,,0.060329728,0.152733337,
827b1bab-f4f7-4881-8e9a-cf66dd4cb221,28,Male,Black or African American,Black African,165111,2,left,0,3,5,2,1,6,4,1,no,,1,reject,80,Low,0,,,,0.877076678,0.073554917,0.049368405,,,0.073554917,0.049368405,
e7e49c52-eaa4-4170-8a8d-0b9ff72bb384,42,Female,American Indian or Alaska Native,White American,200472,1,right,0,5,1,4,2,3,6,1,yes,4,0,filler,70,Low,0,,,,0.841713152,0,0.158286848,,,0.158286848,0,
9d3fe8d5-7401-44c3-943c-7d10b8f00854,39,Female,White or Caucasian,White American,180599,1,right,0,3,5,4,6,1,2,1,no,,1,reject,90,High,0,,,,0.588621026,0.204764426,0.206614548,,,0.206614548,0.204764426,
cbe1e8f5-32da-43da-a9bd-8c44a84c78f3,22,Male,White or Caucasian,White British,205807,2,left,1,1,2,5,6,4,3,1,no,,0,reject,70,High,0,0.464227279,0.535772721,,0.588089395,0.344771975,0.06713863,0.535772721,0,0.344771975,0.06713863,
8533fcc6-1c3b-439e-8258-1a422d33e1b2,35,Male,White or Caucasian,White American,160030,2,left,0,2,5,6,3,4,1,1,yes,1,0,filler,30,Low,0,,,,0.887690033,0.104813484,0.007496483,,,0.104813484,0.007496483,
95986389-ed26-416b-bf41-12edfdb57353,48,Female,White or Caucasian,White American,174028,1,right,1,4,2,5,6,3,1,1,yes,2,0,filler,40,High,0,0.406041335,0.016057234,0.577901431,0.63169043,0.025965988,0.342343582,0.577901431,0.016057234,0.342343582,0.025965988,
06b63d06-1762-40ab-bb11-9743953f14a4,29,Female,White or Caucasian,White American,179855,1,right,0,2,4,6,3,5,1,1,no,,1,reject,80,Low,0,,,,0.87806548,0,0.12193452,,,0.12193452,0,
a5720c18-4fe9-4d11-8245-15c4b41dd3df,24,Male,Black or African American,Black African,193595,2,left,0,6,4,3,5,2,1,1,no,,1,reject,30,High,0,,,,0.810212556,0.189787444,0,,,0.189787444,0,
b2a88da3-3cc0-453f-8017-ddfad589603a,32,Female,White or Caucasian,White American,146902,1,right,0,5,2,6,4,1,3,1,no,,1,reject,100,High,0,,,,0.620483451,0.142505417,0.237011132,,,0.237011132,0.142505417,
c2c6be4e-abbb-4004-bd99-8ec9b97fc9a4,34,Female,White or Caucasian,White American,247209,2,left,0,5,3,4,2,1,6,1,no,,1,reject,80,High,0,,,,0.610999529,0.219047703,0.169952768,,,0.219047703,0.169952768,
da28446c-cd82-4486-a7b9-ad0bd089ecc0,50,Female,White or Caucasian,White American,197140,1,right,0,3,2,5,4,1,6,1,no,,1,reject,90,High,0,,,,0.606599887,0.12954663,0.263853482,,,0.263853482,0.12954663,
5a546e5e-e4d4-47bf-808d-8bc4511deab8,41,Female,Black or African American,Mixed other,271184,2,left,0,6,2,5,4,1,3,1,yes,1,0,filler,60,High,0,,,,0.496176976,0.413088796,0.090734228,,,0.413088796,0.090734228,
1d3a1002-3c1b-4212-aec6-a3effa62676e,52,Female,White or Caucasian,White American,240991,1,right,0,2,6,5,3,1,4,1,no,,1,reject,90,High,0,,,,0.664675053,0.082261648,0.253063299,,,0.253063299,0.082261648,
