subject_ID	trial_num	left	right	chose	left0right1
24	1	3	4	4	1
24	2	2	3	2	0
24	3	1	5	5	1
24	4	3	1	3	0
24	5	2	4	2	0
24	6	4	6	4	0
24	7	6	5	5	1
24	8	5	4	4	1
24	9	1	2	2	1
24	10	2	5	2	0
24	11	1	6	1	0
24	12	4	1	4	0
24	13	3	6	3	0
24	14	6	2	2	1
24	15	3	5	5	1
24	16	1	2	2	1
24	17	3	4	4	1
24	18	4	2	4	0
24	19	3	1	3	0
24	20	1	4	4	1
24	21	6	2	2	1
24	22	5	4	4	1
24	23	6	5	5	1
24	24	4	6	4	0
24	25	2	3	2	0
24	26	1	6	1	0
24	27	2	5	2	0
24	28	5	1	5	0
24	29	3	6	3	0
24	30	5	3	5	0
24	31	2	5	2	0
24	32	4	6	4	0
24	33	2	3	2	0
24	34	1	2	2	1
24	35	2	4	2	0
24	36	6	2	2	1
24	37	5	1	5	0
24	38	1	3	3	1
24	39	3	5	5	1
24	40	5	4	4	1
24	41	4	3	4	0
24	42	1	4	4	1
24	43	6	1	1	1
24	44	5	6	5	0
24	45	6	3	3	1
25	1	1	2	1	0
25	2	2	6	6	1
25	3	6	1	1	1
25	4	4	5	4	0
25	5	2	3	3	1
25	6	3	6	3	0
25	7	6	4	4	1
25	8	4	2	4	0
25	9	5	6	6	1
25	10	1	3	1	0
25	11	3	5	3	0
25	12	5	1	1	1
25	13	3	4	4	1
25	14	4	1	4	0
25	15	2	5	2	0
25	16	5	6	6	1
25	17	1	2	1	0
25	18	4	1	4	0
25	19	2	3	2	0
25	20	6	2	6	0
25	21	2	4	4	1
25	22	4	5	4	0
25	23	5	1	1	1
25	24	1	6	1	0
25	25	6	4	4	1
25	26	1	3	1	0
25	27	2	5	2	0
25	28	3	6	6	1
25	29	4	3	4	0
25	30	3	5	3	0
25	31	2	3	2	0
25	32	3	6	6	1
25	33	6	2	2	1
25	34	4	3	4	0
25	35	5	1	1	1
25	36	2	5	2	0
25	37	5	3	3	1
25	38	2	4	4	1
25	39	4	6	4	0
25	40	6	1	1	1
25	41	4	5	4	0
25	42	5	6	6	1
25	43	4	1	4	0
25	44	1	3	1	0
25	45	2	1	1	1
26	1	2	3	2	0
26	2	1	4	4	1
26	3	3	5	3	0
26	4	2	4	4	1
26	5	4	6	4	0
26	6	2	5	2	0
26	7	1	6	1	0
26	8	6	5	5	1
26	9	1	2	2	1
