subject_ID	trial_num	left	right	chose	left0right1
222	16	4	2	2	1
222	17	6	4	4	1
222	18	5	2	2	1
222	19	3	1	1	1
222	20	1	4	4	1
222	21	2	6	6	1
222	22	3	2	2	1
222	23	1	6	6	1
222	24	2	1	2	0
222	25	3	4	4	1
222	26	5	3	5	0
222	27	1	5	1	0
222	28	5	4	4	1
222	29	6	5	6	0
222	30	6	3	6	0
222	31	6	3	6	0
222	32	1	6	6	1
222	33	5	2	2	1
222	34	6	4	4	1
222	35	4	3	4	0
222	36	3	5	3	0
222	37	2	1	2	0
222	38	1	5	5	1
222	39	3	2	2	1
222	40	2	6	6	1
222	41	1	4	4	1
222	42	6	5	6	0
222	43	5	4	4	1
222	44	4	2	4	0
222	45	3	1	3	0
223	1	3	4	3	0
223	2	1	2	1	0
223	3	5	6	5	0
223	4	6	4	4	1
223	5	1	5	1	0
223	6	2	4	2	0
223	7	3	6	3	0
223	8	6	1	1	1
223	9	3	5	3	0
223	10	5	4	5	0
223	11	1	3	3	1
223	12	4	1	1	1
223	13	2	3	3	1
223	14	5	2	5	0
223	15	2	6	2	0
223	16	4	2	2	1
223	17	6	1	1	1
223	18	2	6	2	0
223	19	3	2	3	0
223	20	4	1	1	1
223	21	3	5	3	0
223	22	5	2	2	1
223	23	6	5	5	1
223	24	4	6	4	0
223	25	1	5	5	1
223	26	5	4	5	0
223	27	1	2	2	1
223	28	3	6	3	0
223	29	1	3	3	1
223	30	3	4	3	0
223	31	1	3	3	1
223	32	6	1	1	1
223	33	3	6	3	0
223	34	6	2	2	1
223	35	5	4	5	0
223	36	3	5	3	0
223	37	1	2	2	1
223	38	4	6	4	0
223	39	2	4	2	0
223	40	4	1	1	1
223	41	6	5	5	1
223	42	3	2	3	0
223	43	4	3	3	1
223	44	1	5	5	1
223	45	5	2	2	1
224	1	3	5	3	0
224	2	1	6	6	1
224	3	2	4	4	1
224	4	4	6	6	1
224	5	5	4	5	0
224	6	1	5	5	1
224	7	5	2	5	0
224	8	2	6	6	1
224	9	1	4	1	0
224	10	3	1	3	0
224	11	5	6	5	0
224	12	2	3	3	1
224	13	3	6	3	0
224	14	4	3	3	1
224	15	1	2	1	0
224	16	4	3	3	1
224	17	6	4	6	0
224	18	4	5	5	1
224	19	2	6	6	1
224	20	3	1	3	0
224	21	1	4	1	0
224	22	2	3	3	1
224	23	1	6	6	1
224	24	6	5	5	1
224	25	5	3	3	1
224	26	1	2	1	0
224	27	3	6	3	0
224	28	5	2	5	0
224	29	2	4	4	1
224	30	1	5	5	1
224	31	4	1	1	1
224	32	2	4	4	1
224	33	6	2	6	0
224	34	3	6	3	0
224	35	5	2	5	0
224	36	3	1	3	0
224	37	4	3	3	1
224	38	1	2	1	0
224	39	5	3	3	1
224	40	1	5	5	1
224	41	5	6	5	0
224	42	6	4	6	0
224	43	4	5	5	1
224	44	2	3	3	1
224	45	1	6	6	1
225	1	2	3	2	0
225	2	1	4	4	1
225	3	5	6	5	0
225	4	1	2	2	1
225	5	4	5	4	0
225	6	2	4	2	0
