ParticipantId,Experiment,LineupType,time_allfaces,above_median,,,,,
080a1cbd-d89e-49e2-9c8c-e827dca2a4e9,Exp2,independent_simultaneous,31354,FALSE,,,,,
082b2233-09da-4adf-ba95-fe97aa85ab7f,Exp2,independent_simultaneous,25312,FALSE,,,,,
0837af99-3491-49eb-aaf9-7a705bc7b9ba,Exp2,independent_simultaneous,78887,TRUE,,,,,
0838c0d9-66d6-43fa-9bcd-fd5b17191203,Exp2,independent_simultaneous,49835,FALSE,,,,,
084c2d8c-87e1-4178-9bb6-a6f252fdccfb,Exp2,independent_simultaneous,112019,TRUE,,,,,
08707de8-943a-4bf6-a0c7-5ebdd2ef0a8c,Exp2,independent_simultaneous,94636,TRUE,,,,,
0874fa93-6a9d-4914-9511-985979a0412b,Exp2,independent_simultaneous,26645,FALSE,,,,,
088d2f5b-d4a8-45cc-b38d-d573328c92af,Exp2,independent_simultaneous,75855,TRUE,,,,,
08970549-4bdf-4832-b64a-12089b8b7b9d,Exp2,independent_simultaneous,119642,TRUE,,,,,
08b1464e-9b3d-427c-9df0-d4cfcb1c1d03,Exp2,independent_simultaneous,46954,FALSE,,,,,
08b2ec62-86b8-45e0-a915-ec9df0e5de12,Exp2,independent_simultaneous,60643,FALSE,,,,,
08b3a2f2-6609-4cc5-a8be-e25cb5e63203,Exp2,independent_simultaneous,117172,TRUE,,,,,
08d38365-d527-4d72-b62c-9111741b2252,Exp2,independent_simultaneous,102983,TRUE,,,,,
08ec69a3-7b2e-4b74-8190-6d2372fa550d,Exp2,independent_simultaneous,104696,TRUE,,,,,
09087779-fff4-47db-9890-3ac839a73fa6,Exp2,independent_simultaneous,92998,TRUE,,,,,
090fe633-bb34-490d-a507-aadd01c0a7a9,Exp2,independent_simultaneous,55996,FALSE,,,,,
091cda5c-df39-4183-a7c8-85622ec031c8,Exp2,independent_simultaneous,110130,TRUE,,,,,
091e0c44-f821-4e84-8999-d79f9b0d0455,Exp2,independent_simultaneous,117306,TRUE,,,,,
094208bc-8093-4ca1-966a-b777029c63b0,Exp2,independent_simultaneous,50091,FALSE,,,,,
095c1bec-480e-43e3-9b35-de5c97078a10,Exp2,independent_simultaneous,40197,FALSE,,,,,
09661711-6bd8-41b8-9406-40f5e75ab86b,Exp2,independent_simultaneous,147448,TRUE,,,,,
0969a6d9-8fd3-4caa-9c62-eb0a01e16eb5,Exp2,independent_simultaneous,42842,FALSE,,,,,
09808e8d-2a7c-4ff0-90e6-f86753ef48cb,Exp2,independent_simultaneous,147695,TRUE,,,,,
0985fa43-4c88-4061-8e0b-c86d9df38a48,Exp2,independent_simultaneous,67613,TRUE,,,,,
09a2f7f0-e3a8-433c-a4f7-b94d811774b7,Exp2,independent_simultaneous,43752,FALSE,,,,,
