ParticipantId,ExperimentId,TrialNumber,time_allfaces_trial,above_median_trial
52f3ff22-a659-4409-87ff-a9fd28304cf8,175,8,21662,FALSE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,1,41685,TRUE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,2,18882,FALSE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,3,17337,FALSE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,4,23148,FALSE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,5,23484,FALSE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,6,29355,TRUE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,7,19505,FALSE
236f9293-fa2a-451c-8b22-98bf65ee2b94,178,8,21564,FALSE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,1,41596,TRUE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,2,23787,FALSE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,3,26013,TRUE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,4,23862,FALSE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,5,30599,TRUE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,6,23723,FALSE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,7,22896,FALSE
1c073ada-a40f-46ea-90c6-04d9b2833354,180,8,24276,FALSE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,1,16808,FALSE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,2,33946,TRUE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,3,21110,FALSE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,4,20949,FALSE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,5,39129,TRUE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,6,23293,FALSE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,7,24028,FALSE
ad6b7b21-7c7f-443b-ab6e-c493925166ed,182,8,22260,FALSE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,1,46228,TRUE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,2,34320,TRUE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,3,37052,TRUE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,4,18632,FALSE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,5,37873,TRUE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,6,25811,TRUE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,7,22513,FALSE
3fd6944c-9f62-4a46-8a09-0ff35ffac3e8,183,8,44377,TRUE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,1,25598,TRUE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,2,30987,TRUE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,3,19256,FALSE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,4,20168,FALSE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,5,19081,FALSE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,6,22581,FALSE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,7,26356,TRUE
4b1d3106-2019-45d2-ba2d-6c7377cd3f1a,185,8,24380,FALSE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,1,32004,TRUE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,2,26323,TRUE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,3,25801,TRUE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,4,30446,TRUE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,5,33601,TRUE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,6,30101,TRUE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,7,24315,FALSE
a3cdc68e-bc08-4fbb-8dd8-14b0f874884d,191,8,28034,TRUE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,1,33272,TRUE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,2,23735,FALSE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,3,25515,TRUE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,4,27673,TRUE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,5,30667,TRUE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,6,40004,TRUE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,7,26997,TRUE
8e5cfd30-6b27-4445-9248-7e10052d5337,193,8,24841,FALSE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,1,60101,TRUE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,2,24425,FALSE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,3,23030,FALSE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,4,24314,FALSE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,5,22078,FALSE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,6,24695,FALSE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,7,24772,FALSE
f9394e95-9e7e-46fb-a481-8f02441ac5a3,196,8,23014,FALSE
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,1,56577,TRUE
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,2,43530,TRUE
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,3,51602,TRUE
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,4,27112,TRUE
