ExperimentId,ParticipantId,SexId,Age,EthnicityId,StartDate,EndDate,TrialNumber,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""","The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),"MyRace (""How would you describe YOUR OWN race / ethnicity?"")",ParticipantPerpetrator present (yes/no),Face picked,Confidence,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,AttentionCheck,Face (.jpeg) picked,Correct,SaidAbsentorPresent,TargetPresent,IDResponse,CrimeWatched,PerpRace,SubjectRace,OwnRace,LineupType,AttentionCheckCorrect,CorrectSubjectRace,Include
290,f91e2010-01aa-4c8a-a008-16231b9b229a,F,18,south_asian,27/04/2018,27/04/2018,8,2,3,1,3,4,3,3,6,9,5,5,White British,no,,80,6,3,5,4,2,1,burglary,absent,1,absent,no,reject,burglary,caucasian,south_asian,otherRace,interactive,yes,yes,yes
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,1,4,0,1,1,3,0,0,6,8,4,4,Black African,yes,4,50,2,4,5,6,1,3,burglary,6,1,present,yes,perpetrator,burglary,south_asian,ERROR,ERROR,static,yes,no,no
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,2,4,0,1,1,3,0,0,6,8,4,4,Black African,no,,100,4,2,5,1,6,3,laptop,absent,1,absent,no,reject,laptop,south_asian,ERROR,ERROR,static,yes,no,no
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,3,4,0,1,1,3,0,0,6,8,4,4,Black African,no,,50,6,5,3,2,4,1,car,absent,1,absent,no,reject,car,caucasian,ERROR,ERROR,static,yes,no,no
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,4,4,0,1,1,3,0,0,6,8,4,4,Black African,yes,3,100,3,2,6,5,1,4,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,south_asian,ERROR,ERROR,static,yes,no,no
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,5,4,0,1,1,3,0,0,6,8,4,4,Black African,no,,50,2,6,5,1,4,3,drinkspiking,absent,0,absent,yes,reject,drinkspiking,caucasian,ERROR,ERROR,static,yes,no,no
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,6,4,0,1,1,3,0,0,6,8,4,4,Black African,no,,70,4,3,6,2,1,5,car,absent,1,absent,no,reject,car,south_asian,ERROR,ERROR,static,yes,no,no
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,7,4,0,1,1,3,0,0,6,8,4,4,Black African,no,,40,3,6,4,1,5,2,burglary,absent,0,absent,yes,reject,burglary,caucasian,ERROR,ERROR,static,yes,no,no
289,7374de80-3c07-4703-9206-496f9a3e34df,F,19,black_african,27/04/2018,27/04/2018,8,4,0,1,1,3,0,0,6,8,4,4,Black African,no,,100,5,4,6,1,3,2,laptop,absent,1,absent,no,reject,laptop,caucasian,ERROR,ERROR,static,yes,no,no
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,1,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,yes,4,70,4,3,2,6,5,1,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,south_asian,south_asian,ownRace,static,yes,yes,yes
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,2,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,yes,6,80,2,3,4,1,5,6,laptop,6,1,present,yes,perpetrator,laptop,south_asian,south_asian,ownRace,static,yes,yes,yes
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,3,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,yes,2,70,2,6,3,5,4,1,drinkspiking,6,1,present,yes,perpetrator,drinkspiking,caucasian,south_asian,otherRace,static,yes,yes,yes
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,4,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,yes,3,60,4,3,2,1,5,6,burglary,2,0,present,no,foil,burglary,caucasian,south_asian,otherRace,static,yes,yes,yes
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,5,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,no,,50,4,2,1,5,3,6,burglary,absent,1,absent,no,reject,burglary,south_asian,south_asian,ownRace,static,yes,yes,yes
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,6,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,yes,1,80,6,1,3,5,2,4,laptop,6,1,present,yes,perpetrator,laptop,caucasian,south_asian,otherRace,static,yes,yes,yes
