ParticipantId,Gender,Age,Race / ethnicity,ParticipantPerpetrator present (yes/no),Face picked,Confidence,My Race,Start Date,Finish Date,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""",ContactSum,"The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),AttentionCheck,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,Face(.jpeg)picked,Correct,SaidAbsentorPresent,IDResponse,CrimeWatched,TargetPresent,PerpRace,SubjectRace,OwnRace,LineupType,CorrectSubjectRace,AttentionCheckCorrect,PlayedSmoothly,FirstComplete,IncludeFinalSample,Recruited from?
ad64ae53-a531-4885-b683-9229db5716c0,Female,32,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,5,70,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,5,mugging,5,3,4,6,2,1,2,0,present,foil,mugging,no,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
9b70ae17-cf7b-4f00-abc6-12aed04d337a,Female,20,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,6,60,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8,5,5,car,2,3,1,6,4,5,5,0,present,foil,car,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
8961d041-3c99-408e-91d9-ddc7d02f86f1,Female,21,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,70,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4,5,5,car,4,2,5,6,1,3,2,0,present,foil,car,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
727b2bef-dac5-4c00-b993-7dcd7bbfc998,Female,29,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,70,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1,5,5,mugging,6,1,2,4,3,5,6,1,present,perpetrator,mugging,yes,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
05009b07-d4bf-4d75-8f84-6635d0eba8f6,Male,28,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,3,60,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,4,money,6,5,3,4,1,2,3,0,present,foil,money,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
0bfc8bc7-b040-45d1-bd35-c0dd652d4c53,Female,22,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,90,Asian Indian,16/07/2018,16/07/2018,6.00,5.00,5.00,6.00,3.00,4.00,0.00,3.00,8.00,40,4,4,money,3,6,2,4,5,1,6,1,present,perpetrator,money,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
6e928333-afb7-4e13-9c45-42369a4e724e,Female,21,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,5,80,Asian Indian,16/07/2018,16/07/2018,6.00,5.00,2.00,8.00,7.00,4.00,0.00,1.00,8.00,41,5,5,car,1,5,6,4,2,3,2,0,present,foil,car,no,south_asian,south_asian,ownRace,joint_simultaneous,yes,yes,yes,,yes,CIND
442741f1-1d9f-4dfb-8cf4-611d51d8a86d,Female,22,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,100,Asian Indian,16/07/2018,16/07/2018,4.00,4.00,1.00,3.00,2.00,4.00,0.00,3.00,5.00,26,4,4,mugging,4,1,2,3,5,6,1,0,present,foil,mugging,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
7a84e56e-fa6c-48f5-bcda-9266acb80767,Female,23,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,6,80,Asian Indian,16/07/2018,16/07/2018,6.00,8.00,6.00,8.00,4.00,8.00,0.00,5.00,8.00,53,4,4,mugging,3,1,4,5,6,2,2,0,present,foil,mugging,yes,caucasian,south_asian,otherRace,joint_simultaneous,yes,yes,yes,,yes,CIND
13629098-5b7e-4c5f-8f16-8f350b7e3957,Female,20,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,100,Asian Indian,16/07/2018,16/07/2018,0.00,2.00,2.00,7.00,2.00,3.00,5.00,0.00,7.00,28,5,4,mugging,5,6,3,2,4,1,6,1,present,perpetrator,mugging,yes,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
